METAL FORM CODE                            METAL FORM LITERAL
BRASS-DECORATIVE_PLAQUE                               DECORATIVE PLAQUE
BRASS-DIE_CAST                                        DIE CAST
BRASS-DIRTY                                           DIRTY
BRASS-ELECTRICAL                                      ELECTRICAL
BRASS-ENCASED_SIDES                                   ENCASED SIDES
BRASS-FAUCET                                          FAUCET
BRASS-FINS                                            FINS
BRASS-FINSTOCK                                        FINSTOCK
BRASS-FITTING                                         FITTING
BRASS-GEAR                                            GEAR
BRASS-GEAR_METAL                                      GEAR METAL
BRASS-HEATER_CORE                                     HEATER CORE
BRASS-METAL_BORINGS                                   METAL BORINGS
BRASS-METAL_SOLIDS                                    METAL SOLIDS
BRASS-MINOX                                           MINOX
BRASS-MIXED                                           MIXED
BRASS-NAME_PLAQUE                                     NAME PLAQUE
BRASS-NOZZLE                                          NOZZLE
BRASS-PIPE                                            PIPE
BRASS-PLUMBING                                        PLUMBING
BRASS-POWER_INVERTER                                  Power Inverter
BRASS-RADIATOR                                        RADIATOR
BRASS-RED                                             RED
BRASS-RED_BORINGS                                     RED BORINGS
BRASS-RED_FITTINGS                                    RED FITTINGS
BRASS-RED_TURNINGS                                    RED TURNINGS
BRASS-RED_WATER_METER                                 RED WATER METER
BRASS-REFINERY                                        REFINERY
BRASS-REFINERY_BORINGS                                REFINERY BORINGS
BRASS-RIFLE_SHELLS                                    RIFLE SHELLS
BRASS-ROD                                             ROD
BRASS-ROD_BORINGS                                     ROD BORINGS
BRASS-ROD_ENDS                                        ROD ENDS
BRASS-ROD_SOLIDS                                      ROD SOLIDS
BRASS-ROD_TURNINGS                                    ROD TURNINGS
BRASS-SCREEN                                          SCREEN
BRASS-SHAVINGS                                        SHAVINGS
BRASS-SHELLS                                          SHELLS
BRASS-SOLID                                           SOLID
BRASS-TUBE                                            TUBE
BRASS-TURNINGS                                        TURNINGS
BRASS-VALVE                                           VALVE
BRASS-WATER_METER                                     WATER METER
BRASS-YELLOW                                          YELLOW
BRASS-YELLOW_BORINGS                                  YELLOW BORINGS
BRASS-YELLOW_FIGURES                                  YELLOW FIGURES
BRASS-YELLOW_FITTINGS                                 YELLOW FITTINGS
BRASS-YELLOW_MIX                                      YELLOW MIX
BRASS-YELLOW_PIPE                                     YELLOW PIPE
BRASS-YELLOW_SEMI                                     YELLOW SEMI
BRASS-YELLOW_SLAG                                     YELLOW SLAG
BRASS-YELLOW_TURNINGS                                 YELLOW TURNINGS
BRASS-YELLOW_VALVE_FITTING                            YELLOW VALVE FITTING
BRASS-ZIPPER                                          ZIPPER
BRONZE-BORINGS                                        BORINGS
BRONZE-MARKER                                         MARKER
BRONZE-MEMORIAL                                       MEMORIAL
BRONZE-PIPE                                           PIPE
BRONZE-PLAQUE                                         PLAQUE
BRONZE-RADIATOR                                       RADIATOR
BRONZE-RECEPTACLE                                     RECEPTACLE
BRONZE-STATUARY                                       STATUARY
BRONZE-STATUE                                         STATUE
BRONZE-TURNINGS                                       TURNINGS
BRONZE-VALVE                                          VALVE
BRONZE-VASE                                           VASE
COPPER-1                                              #1
COPPER-2                                              #2
COPPER-3                                              #3
COPPER-ALTERNATOR_BEARING                             ALTERNATOR BEARING
COPPER-ASH                                            ASH
COPPER-BAILING_WIRE                                   BAILING WIRE
COPPER-BAILING_WIRE_1                                 #1 BAILING WIRE
COPPER-BALLAST                                        BALLAST
COPPER-BARE_BRIGHT                                    BARE BRIGHT
COPPER-BARE_BRIGHT_TUBING                             BARE BRIGHT TUBING
COPPER-BARE_BRIGHT_WIRE                               BARE BRIGHT WIRE
COPPER-BARE_BRIGHT_WIRE_1                             #1 BARE BRIGHT WIRE
COPPER-BEARING                                        BEARING
COPPER-BEARING_SCRAP                                  BEARING SCRAP
COPPER-BURNT_WIRE                                     BURNT WIRE
COPPER-BUS_BAR                                        BUS BAR
COPPER-BUS_STOCK_1                                    #1 BUS STOCK
COPPER-CABLE                                          CABLE
COPPER-CHOPS_1                                        #1 CHOPS
COPPER-CHRISTMAS_LIGHTS                               CHRISTMAS LIGHTS
COPPER-CLAD_WIRE                                      CLAD WIRE
COPPER-CLIP                                           CLIP
COPPER-COIL                                           COIL
COPPER-COMPRESSOR                                     COMPRESSOR
COPPER-END                                            END
COPPER-FINS                                           FINS
COPPER-FITTING                                        FITTING
COPPER-GREEN_WIRE                                     GREEN WIRE
COPPER-GUTTER                                         GUTTER
COPPER-HARNESS                                        HARNESS
COPPER-HEATER_CORE                                    HEATER CORE
COPPER-HELIX_CABLE                                    HELIX CABLE
COPPER-INSULATED_BOX_WIRE                             INSULATED BOX WIRE
COPPER-INSULATED_CABLE                                INSULATED CABLE
COPPER-INSULATED_EXTENSION_CORD_2                     #2 INSULATED EXTENSION CORD
