VEHICLE CODE      VEHICLE LITERAL
AUTO-BUIC-G35      BUICK GS350
AUTO-BUIC-G40      BUICK GS400
AUTO-BUIC-G45      BUICK GS455
AUTO-BUIC-GS       BUICK GRAND SPORTS (G.S.)
AUTO-BUIC-INV      BUICK INVICTA
AUTO-BUIC-LCR      BUICK LA CROSSE
AUTO-BUIC-LES      BUICK LE SABRE
AUTO-BUIC-LIM      BUICK LIMITED
AUTO-BUIC-LUC      BUICK LUCERNE
AUTO-BUIC-PRK      BUICK PARK AVENUE
AUTO-BUIC-RDV      BUICK RENDEZVOUS
AUTO-BUIC-REA      BUICK REATTA
AUTO-BUIC-REG      BUICK REGAL
AUTO-BUIC-RIV      BUICK RIVIERA
AUTO-BUIC-RNR      BUICK RANIER
AUTO-BUIC-ROA      BUICK ROADMASTER
AUTO-BUIC-SKH      BUICK SKYHAWK
AUTO-BUIC-SKY      BUICK SKYLARK
AUTO-BUIC-SOM      BUICK SOMERSET
AUTO-BUIC-SPE      BUICK SPECIAL
AUTO-BUIC-SPO      BUICK SPORTSWAGON
AUTO-BUIC-SUP      BUICK SUPER
AUTO-BUIC-TRZ      BUICK TERRAZA
AUTO-BUIC-VER      BUICK NULL
AUTO-BUIC-WIL      BUICK WILDCAT
AUTO-BZEL-ELE      B & Z ELECTRIC CAR CO. ELECTRA-KING
AUTO-CADI-60       CADILLAC 60 SERIES
AUTO-CADI-61       CADILLAC 61 SERIES
AUTO-CADI-62       CADILLAC 62 SERIES
AUTO-CADI-75       CADILLAC 75 SERIES
AUTO-CADI-ALL      CADILLAC ALLANTE
AUTO-CADI-ATS      CADILLAC NULL
AUTO-CADI-BRO      CADILLAC BROUGHAM
AUTO-CADI-CAL      CADILLAC CALAIS
AUTO-CADI-CAP      CADILLAC CAPRICE
AUTO-CADI-CAT      CADILLAC CATERA
AUTO-CADI-CIM      CADILLAC CIMARRON
AUTO-CADI-CON      CADILLAC CONCOURS
AUTO-CADI-CTS      CADILLAC CTS
AUTO-CADI-DEV      CADILLAC DEVILLE
